category,word
social_unit,troop
social_unit,tribe
social_unit,team
social_unit,platoon
social_unit,office
social_unit,nation
social_unit,legion
social_unit,league
social_unit,household
social_unit,house
social_unit,family
social_unit,divan
social_unit,department
social_unit,confederacy
social_unit,company
social_unit,committee
social_unit,club
social_unit,bureau
social_unit,brigade
social_unit,branch
social_unit,agency
solid,tetrahedron
solid,taper
solid,salient
solid,ring
solid,ovoid
solid,octahedron
solid,knob
solid,jag
solid,indentation
solid,icosahedron
solid,fluting
solid,droop
solid,dome
solid,dodecahedron
solid,cylinder
solid,cuboid
solid,cube
solid,crinkle
solid,corner
solid,concavity
time,yesteryear
time,yesterday
time,tonight
time,tomorrow
time,today
time,quaternary
time,period
time,nonce
time,moment
time,menopause
time,hereafter
time,gestation
time,future
time,epoch
time,day
time,date
time,aeon
tree,walnut
tree,sycamore
tree,sapling
tree,samba
tree,rowan
tree,pistachio
tree,pine
tree,palm
tree,oak
tree,mangrove
tree,mandarin
tree,lime
tree,jacaranda
tree,hornbeam
tree,fig
tree,conifer
tree,coco
tree,cinchona
tree,chestnut
tree,casuarina
tree,acacia
vehicle,van
vehicle,truck
vehicle,ship
vehicle,rocket
vehicle,pickup
vehicle,motorcycle
vehicle,helicopter
vehicle,cruiser
vehicle,car
vehicle,boat
vehicle,bicycle
vehicle,automobile
vehicle,airplane
vehicle,aircraft
